Gene,Gene_ID,disease_name,disease_id,score,Calculated_Risk_Score,Num_SNPs,Total_Risk_Score,Weighted_Gene_Score,Feature_Type,Gene_Length_bp
GLB1,ENSG00000170266,mucopolysaccharidosis type 4B,MONDO_0009660,0.8473485669415689,8.473516577495062,1,0.5,0.5,transcript,16177.0
TYR,ENSG00000077498,oculocutaneous albinism type 1A,MONDO_0008745,0.8468634243534792,8.46875806720988,1,0.5,0.5,transcript,4038.0
AGA,ENSG00000038002,aspartylglucosaminuria,MONDO_0008830,0.8449861552155568,8.449959533735031,1,0.5,0.5,transcript,5103.0
SKI,ENSG00000157933,Shprintzen-Goldberg syndrome,MONDO_0008426,0.8449776577590219,8.449829098598622,1,0.4,0.4,transcript,7616.0
GLB1,ENSG00000170266,GM1 gangliosidosis type 1,MONDO_0009260,0.8448513509507921,8.448544417587293,1,0.5,0.5,transcript,16177.0
SUMF1,ENSG00000144455,Multiple sulfatase deficiency,Orphanet_585,0.8428600609929631,8.428632959302863,1,0.4,0.4,transcript,12365.0
AR,ENSG00000169083,androgen insensitivity syndrome,MONDO_0019154,0.8424737152055584,8.424778481841445,2,0.8,1.6,transcript,38713.0
GBE1,ENSG00000114480,glycogen storage disease due to glycogen branching enzyme deficiency,MONDO_0009292,0.8415526961562311,8.41558784065643,1,0.5,0.5,transcript,8213.0
ANO5,ENSG00000171714,autosomal recessive limb-girdle muscular dystrophy type 2L,MONDO_0012652,0.8369989968761427,8.369995015124891,1,0.4,0.4,transcript,79265.0
GLB1,ENSG00000170266,GM1 gangliosidosis type 3,MONDO_0009262,0.8368940112883008,8.36897102096238,1,0.5,0.5,transcript,16177.0
BRCA2,ENSG00000139618,Hereditary breast and ovarian cancer syndrome,Orphanet_145,0.8367333122861857,8.367336114849316,1,0.5,0.5,transcript,167113.0
GLB1,ENSG00000170266,GM1 gangliosidosis type 2,MONDO_0009261,0.8365398139490504,8.365429047569876,1,0.5,0.5,transcript,16177.0
KCNQ1,ENSG00000053918,long QT syndrome 1,MONDO_0100316,0.8362779383336674,8.362973056674312,3,1.2000000000000002,3.6000000000000005,transcript,18588.0
VPS13A,ENSG00000197969,Choreoacanthocytosis,Orphanet_2388,0.8355132495222666,8.35513924047148,1,0.4,0.4,transcript,59301.0
LRRK2,ENSG00000188906,Hereditary late-onset Parkinson disease,Orphanet_411602,0.8349741052756088,8.349759810571843,2,0.9,1.8,transcript,95960.0
ALDOB,ENSG00000136872,hereditary fructose intolerance,MONDO_0009249,0.8345801895400516,8.345843307554983,1,0.4,0.4,transcript,9659.0
BRCA2,ENSG00000139618,Fanconi anemia complementation group D1,MONDO_0011584,0.8341638595090799,8.341641587078257,1,0.5,0.5,transcript,167113.0
MMADHC,ENSG00000168288,"Methylmalonic acidemia with homocystinuria, type cblD",Orphanet_79283,0.8296786492639707,8.296868058708224,1,0.4,0.4,transcript,4904.0
BRCA2,ENSG00000139618,breast carcinoma,EFO_0000305,0.8292560766020882,8.29256375800834,1,0.5,0.5,transcript,167113.0
WRN,ENSG00000165392,Werner syndrome,MONDO_0010196,0.8278599076163855,8.27862647792853,1,0.5,0.5,transcript,18247.0
SPRED1,ENSG00000166068,Legius syndrome,MONDO_0012669,0.827230168779278,8.27234626100428,1,0.4,0.4,transcript,8974.0
TBX5,ENSG00000089225,Holt-Oram syndrome,MONDO_0007732,0.8271561196033219,8.271686489690227,2,0.8,1.6,transcript,12770.0
SHH,ENSG00000164690,holoprosencephaly 3,MONDO_0007733,0.8258269473151775,8.258322622234953,1,0.4,0.4,transcript,7526.0
DPYD,ENSG00000188641,dihydropyrimidine dehydrogenase deficiency,MONDO_0010130,0.8238869286253052,8.238927507026224,1,0.5,0.5,transcript,8588.0
KLHL3,ENSG00000146021,pseudohypoaldosteronism type 2D,MONDO_0013781,0.8236002175398649,8.236049486081994,2,0.8,1.6,transcript,33819.0
AR,ENSG00000169083,partial androgen insensitivity syndrome,MONDO_0010720,0.8229769855485846,8.229811185271705,2,0.8,1.6,transcript,38713.0
GHR,ENSG00000112964,Laron syndrome,MONDO_0009877,0.8210809175033865,8.210818036550515,1,0.4,0.4,transcript,45139.0
ANO5,ENSG00000171714,gnathodiaphyseal dysplasia,MONDO_0008151,0.8201943478966875,8.201948525330339,1,0.4,0.4,transcript,79265.0
RET,ENSG00000165731,multiple endocrine neoplasia type 2B,MONDO_0008082,0.8196079332979929,8.196089345244953,1,0.4,0.4,transcript,39951.0
GFPT1,ENSG00000198380,Congenital myasthenic syndromes,Orphanet_590,0.818469410941056,8.18470921343956,1,0.4,0.4,transcript,26483.0
MMADHC,ENSG00000168288,methylmalonic aciduria and homocystinuria type cblD,MONDO_0010185,0.8174910019084023,8.17499158515254,1,0.4,0.4,transcript,4904.0
TYR,ENSG00000077498,oculocutaneous albinism type 1B,MONDO_0011749,0.8173474087209687,8.173597910884775,1,0.5,0.5,transcript,4038.0
PEX7,ENSG00000112357,Refsum disease,Orphanet_773,0.8171684084454838,8.171726628594383,1,0.4,0.4,transcript,9402.0
GCH1,ENSG00000131979,dystonia 5,MONDO_0007495,0.816759845914235,8.167632222964416,1,0.4,0.4,transcript,11847.0
NBAS,ENSG00000151779,infantile liver failure syndrome 2,MONDO_0014659,0.8167212921295202,8.167246467085205,2,1.0,2.0,transcript,59620.0
MTR,ENSG00000116984,methylcobalamin deficiency type cblG,MONDO_0009609,0.8158511666850812,8.158516079280627,1,0.4,0.4,transcript,90653.0
CCBE1,ENSG00000183287,Hennekam syndrome,MONDO_0016256,0.8152874305690586,8.15288809594088,1,0.4,0.4,transcript,29006.0
ANOS1,ENSG00000011201,hypogonadotropic hypogonadism 1 with or without anosmia,MONDO_0010635,0.8150971636789248,8.151023143356335,1,0.4,0.4,transcript,7766.0
GJB2,ENSG00000165474,palmoplantar keratoderma-deafness syndrome,MONDO_0007852,0.8149972042562548,8.150058848118103,1,0.4,0.4,transcript,4608.0
NDUFS4,ENSG00000164258,mitochondrial complex I deficiency,MONDO_0100133,0.8149288533808948,8.149395115210494,1,0.4,0.4,transcript,3753.0
SI,ENSG00000090402,congenital sucrase-isomaltase deficiency,MONDO_0009114,0.8149182964478249,8.149255010587758,1,0.5,0.5,transcript,6940.0
RP2,ENSG00000102218,retinitis pigmentosa,MONDO_0019200,0.8145559468294035,8.145667576402143,1,0.4,0.4,transcript,3700.0
BMPR2,ENSG00000204217,"pulmonary hypertension, primary, 1",MONDO_0024533,0.8135895522922568,8.135913294381606,1,0.4,0.4,transcript,22508.0
SGCB,ENSG00000163069,autosomal recessive limb-girdle muscular dystrophy type 2E,MONDO_0011423,0.813273161416255,8.132804209443856,1,0.4,0.4,transcript,5510.0
PEX2,ENSG00000164751,peroxisome biogenesis disorder 5A (Zellweger),MONDO_0013932,0.8130148955026041,8.130192781036778,1,0.4,0.4,transcript,9127.0
LRBA,ENSG00000198589,combined immunodeficiency due to LRBA deficiency,MONDO_0013863,0.8113005110428253,8.113009051936274,1,0.4,0.4,transcript,101484.0
FREM2,ENSG00000150893,Fraser syndrome,MONDO_0009046,0.8104446008284127,8.105337115038717,6,2.5,15.0,transcript,16833.0
CP,ENSG00000047457,aceruloplasminemia,MONDO_0011426,0.8103961568267681,8.103982626219164,1,0.5,0.5,transcript,23744.0
PHIP,ENSG00000146247,PHIP-related behavioral problems-intellectual disability-obesity-dysmorphic features syndrome,MONDO_0035133,0.8101285327732248,8.101293304885681,1,0.5,0.5,transcript,62679.0
PEX7,ENSG00000112357,rhizomelic chondrodysplasia punctata type 1,MONDO_0008972,0.8096144944417485,8.09618748855703,1,0.4,0.4,transcript,9402.0
FBN1,ENSG00000166147,"ectopia lentis 1, isolated, autosomal dominant",MONDO_0007514,0.809441312201,8.094419787232535,1,0.4,0.4,transcript,60013.0
BRCA2,ENSG00000139618,cancer,MONDO_0004992,0.809106095890186,8.091063950889318,1,0.5,0.5,transcript,167113.0
FRAS1,ENSG00000138759,Fraser syndrome,MONDO_0009046,0.8078344647959333,8.078376784503941,2,0.9,1.8,transcript,56011.0
GJA3,ENSG00000121743,Posterior polar cataract,Orphanet_98993,0.807490100326388,8.074977719796292,1,0.4,0.4,transcript,5214.0
TGFBR1,ENSG00000106799,Loeys-Dietz syndrome 1,MONDO_0012212,0.806734473424144,8.067348981833586,1,0.4,0.4,transcript,94171.0
ALPK3,ENSG00000136383,hypertrophic cardiomyopathy,EFO_0000538,0.8063180289620713,8.063217585658009,1,0.4,0.4,transcript,10725.0
PKP2,ENSG00000057294,Arrhythmogenic right ventricular dysplasia,Orphanet_247,0.8061916162615861,8.062072263984186,4,1.6,6.4,transcript,40999.0
GCH1,ENSG00000131979,GTP cyclohydrolase I deficiency with hyperphenylalaninemia,MONDO_0100186,0.8059713221371119,8.059746985193184,1,0.4,0.4,transcript,11847.0
SLC6A5,ENSG00000165970,hereditary hyperekplexia,MONDO_0021022,0.8059396927332323,8.059435563476436,1,0.4,0.4,transcript,10353.0
SLC25A46,ENSG00000164209,"neuropathy, hereditary motor and sensory, type vib",EFO_0009075,0.8055387766917383,8.055407720027576,1,0.4,0.4,transcript,20047.0
THAP1,ENSG00000131931,"Primary dystonia, DYT6 type",Orphanet_98806,0.8054768596326468,8.054847961405834,1,0.4,0.4,transcript,5040.0
FBN1,ENSG00000166147,Acromicric dysplasia,MONDO_0007055,0.8041599621113951,8.041606286336487,1,0.4,0.4,transcript,60013.0
GBE1,ENSG00000114480,adult polyglucosan body disease,MONDO_0009897,0.8041533197213482,8.041594076307602,1,0.5,0.5,transcript,8213.0
GALNT3,ENSG00000115339,familial hyperphosphatemic tumoral calcinosis/hyperphosphatemic hyperostosis syndrome,Orphanet_306661,0.8036047961381312,8.036076869381601,1,0.4,0.4,transcript,13837.0
SH3TC2,ENSG00000169247,Charcot-Marie-Tooth disease type 4C,MONDO_0011113,0.8030391752850824,8.030396176259503,1,0.4,0.4,transcript,90428.0
AR,ENSG00000169083,prostate cancer,MONDO_0008315,0.8029552448422713,8.029593778208573,2,0.8,1.6,transcript,38713.0
CLDN16,ENSG00000113946,renal hypomagnesemia 3,MONDO_0009550,0.8028883840277404,8.028984216688947,1,0.4,0.4,transcript,3985.0
TRPC6,ENSG00000137672,focal segmental glomerulosclerosis,EFO_0004236,0.8025000022433534,8.025028909557099,1,0.4,0.4,transcript,13847.0
FBN1,ENSG00000166147,geleophysic dysplasia 2,MONDO_0013612,0.801886295466196,8.018869619884496,1,0.4,0.4,transcript,60013.0
PPA2,ENSG00000138777,sudden cardiac arrest,EFO_0004278,0.8016594295071408,8.016621701341961,1,0.5,0.5,transcript,18244.0
AP1S2,ENSG00000182287,syndromic X-linked intellectual disability 5,MONDO_0010574,0.8016218818285646,8.016239627774773,1,0.4,0.4,transcript,19222.0
TRIT1,ENSG00000043514,combined oxidative phosphorylation deficiency 35,MONDO_0054742,0.8003209708079176,8.003224910846079,1,0.4,0.4,transcript,26311.0
MC2R,ENSG00000185231,familial glucocorticoid deficiency,MONDO_0008733,0.8001255410462645,8.001350017842022,1,0.4,0.4,transcript,4228.0
FBN1,ENSG00000166147,stiff skin syndrome,MONDO_0008492,0.7999448018122904,7.999454683345439,1,0.4,0.4,transcript,60013.0
UNC80,ENSG00000144406,"hypotonia, infantile, with psychomotor retardation and characteristic facies",MONDO_0014176,0.7990871175780205,7.990875837784867,1,0.4,0.4,transcript,85800.0
GJB2,ENSG00000165474,keratoderma hereditarium mutilans,MONDO_0007422,0.7986522754814325,7.98660956036988,1,0.4,0.4,transcript,4608.0
MMADHC,ENSG00000168288,Methylmalonic acidemia with homocystinuria,Orphanet_26,0.797452997910108,7.974611545169596,1,0.4,0.4,transcript,4904.0
PEX2,ENSG00000164751,Peroxisome biogenesis disorder-Zellweger syndrome spectrum,Orphanet_79189,0.7972997657363634,7.973041483374371,1,0.4,0.4,transcript,9127.0
HFE,ENSG00000010704,hereditary hemochromatosis type 1,EFO_0006513,0.7971643903481864,7.971652188657613,1,0.4,0.4,transcript,48279.0
PDHX,ENSG00000110435,pyruvate dehydrogenase E3-binding protein deficiency,MONDO_0009503,0.7956299776985056,7.956344544752264,1,0.4,0.4,transcript,8935.0
SLC39A8,ENSG00000138821,SLC39A8-CDG,MONDO_0014746,0.7954746743325342,7.954754048727687,1,0.4,0.4,transcript,54754.0
PIGN,ENSG00000197563,multiple congenital anomalies-hypotonia-seizures syndrome 1,MONDO_0013563,0.7954154898755184,7.954157438582856,1,0.4,0.4,transcript,157491.0
KCNQ3,ENSG00000184156,Benign familial neonatal seizures,Orphanet_1949,0.7952619906838837,7.952676284569634,2,0.8,1.6,transcript,28380.0
LRP2,ENSG00000081479,Donnai-Barrow syndrome,MONDO_0009104,0.7947539667521669,7.947556256221446,1,0.5,0.5,transcript,30141.0
FGA,ENSG00000171560,familial dysfibrinogenemia,MONDO_0014452,0.7944420750199267,7.944488974657736,1,0.4,0.4,transcript,5863.0
GJB2,ENSG00000165474,Bart-Pumphrey syndrome,MONDO_0007866,0.7939639612349843,7.939726417905398,1,0.4,0.4,transcript,4608.0
LDLRAP1,ENSG00000157978,homozygous familial hypercholesterolemia,MONDO_0018328,0.7937386828083639,7.937412741532719,1,0.4,0.4,transcript,15436.0
BRCA2,ENSG00000139618,ovarian neoplasm,EFO_0003893,0.7935715728588665,7.935718720576123,1,0.5,0.5,transcript,167113.0
DAG1,ENSG00000173402,autosomal recessive limb-girdle muscular dystrophy type 2P,MONDO_0013440,0.7935287648287157,7.935293836405969,1,0.4,0.4,transcript,64640.0
NBAS,ENSG00000151779,Short stature-optic atrophy-Pelger-Huët anomaly syndrome,Orphanet_391677,0.7929760254922763,7.929793800712766,2,1.0,2.0,transcript,59620.0
SPART,ENSG00000133104,Troyer syndrome,MONDO_0010156,0.792905129916495,7.929065564500186,1,0.4,0.4,transcript,28040.0
DSC2,ENSG00000134755,Arrhythmogenic right ventricular dysplasia,Orphanet_247,0.7927758948208196,7.927771390274823,2,0.8,1.6,transcript,128596.0
AR,ENSG00000169083,prostate carcinoma,EFO_0001663,0.792393488087032,7.92397621065618,2,0.8,1.6,transcript,38713.0
NEK1,ENSG00000137601,short-rib thoracic dysplasia 6 with or without polydactyly,MONDO_0009894,0.7920365491643633,7.920379751511907,2,0.8,1.6,transcript,112203.0
LAMA1,ENSG00000101680,ataxia - intellectual disability - oculomotor apraxia - cerebellar cysts syndrome,MONDO_0014419,0.7905870321149505,7.9058862163682235,1,0.5,0.5,transcript,31456.0
ASPM,ENSG00000066279,autosomal recessive primary microcephaly,MONDO_0016660,0.790462407784663,7.904659076193931,2,0.9,1.8,transcript,51431.0
CYP24A1,ENSG00000019186,Autosomal recessive infantile hypercalcemia,Orphanet_300547,0.789325711012754,7.893447314597345,2,0.8,1.6,transcript,8412.0
OTULIN,ENSG00000154124,infantile-onset periodic fever-panniculitis-dermatosis syndrome,MONDO_0014912,0.7892656809787059,7.892676044255225,1,0.4,0.4,transcript,20796.0
FANCF,ENSG00000183161,Fanconi anemia complementation group F,EFO_0009045,0.7891691610846184,7.891813154449952,1,0.4,0.4,transcript,3291.0
KIAA0586,ENSG00000100578,Joubert syndrome 23,MONDO_0014664,0.7878677208972017,7.878682860030461,1,0.5,0.5,transcript,88479.0
GJB2,ENSG00000165474,autosomal dominant keratitis-ichthyosis-hearing loss syndrome,MONDO_0007850,0.787641767651443,7.876504482069985,1,0.4,0.4,transcript,4608.0
FBN1,ENSG00000166147,progeroid and marfanoid aspect-lipodystrophy syndrome,MONDO_0014831,0.7858026363205153,7.858033028427688,1,0.4,0.4,transcript,60013.0
ACADSB,ENSG00000196177,2-methylbutyryl-CoA dehydrogenase deficiency,MONDO_0012392,0.7854063688301445,7.854110510260943,1,0.4,0.4,transcript,8543.0
ACTN2,ENSG00000077522,dilated cardiomyopathy 1AA,MONDO_0012808,0.7852677871362224,7.852694556974011,2,0.8,1.6,transcript,95891.0
GCH1,ENSG00000131979,Hyperphenylalaninemia,Orphanet_238583,0.7847735581948767,7.847769345770831,1,0.4,0.4,transcript,11847.0
MACF1,ENSG00000127603,lissencephaly 9 with complex brainstem malformation,MONDO_0032677,0.7841021139131631,7.841026465983961,2,0.8,1.6,gene_variant,300365.0
SEC63,ENSG00000025796,Isolated polycystic liver disease,Orphanet_2924,0.7820189055245947,7.820464579507389,3,1.2000000000000002,3.6000000000000005,transcript,13066.0
GHR,ENSG00000112964,short stature due to partial GHR deficiency,MONDO_0011420,0.7819455455321481,7.81946431683813,1,0.4,0.4,transcript,45139.0
PEX13,ENSG00000162928,peroxisome biogenesis disorder 11A (Zellweger),MONDO_0013949,0.7818465528523064,7.818511358037271,1,0.4,0.4,transcript,8728.0
TRPC6,ENSG00000137672,familial idiopathic steroid-resistant nephrotic syndrome,MONDO_0019006,0.781734618029957,7.817375067423135,1,0.4,0.4,transcript,13847.0
EGFR,ENSG00000146648,lung adenocarcinoma,EFO_0000571,0.7814118051378716,7.814155370033378,2,0.8,1.6,transcript,42874.0
SMC3,ENSG00000108055,Cornelia de Lange syndrome,MONDO_0016033,0.7806286867452507,7.806295479975114,1,0.4,0.4,transcript,46444.0
CERKL,ENSG00000188452,retinitis pigmentosa,MONDO_0019200,0.7802660993523568,7.802681067395416,1,0.5,0.5,transcript,24908.0
PEX13,ENSG00000162928,peroxisome biogenesis disorder 11B,MONDO_0013950,0.7799391815011938,7.799437644526145,1,0.4,0.4,transcript,8728.0
ITGA8,ENSG00000077943,renal hypodysplasia/aplasia 1,MONDO_0024519,0.7799155536685458,7.799620292688556,3,1.2000000000000002,3.6000000000000005,transcript,7746.0
PROK2,ENSG00000163421,hypogonadotropic hypogonadism,MONDO_0018555,0.7785371101544712,7.7858865654622385,2,0.8,1.6,transcript,3104.0
CNTNAP2,ENSG00000174469,cortical dysplasia-focal epilepsy syndrome,MONDO_0012400,0.7785226889001581,7.785234570673112,1,0.4,0.4,transcript,52072.0
RET,ENSG00000165731,pheochromocytoma,MONDO_0008233,0.7780190252433801,7.780200264698826,1,0.4,0.4,transcript,39951.0
IQCB1,ENSG00000173226,Senior-Loken syndrome,MONDO_0017842,0.7776933059211246,7.7769746781895,1,0.4,0.4,transcript,9611.0
SGCD,ENSG00000170624,autosomal recessive limb-girdle muscular dystrophy type 2F,MONDO_0011028,0.7773858156928333,7.773876945974319,1,0.4,0.4,transcript,21289.0
SLC25A46,ENSG00000164209,"neuropathy, hereditary motor and sensory, type 6B",MONDO_0014671,0.7772515022541181,7.7725349756513715,1,0.4,0.4,transcript,20047.0
ANO5,ENSG00000171714,Miyoshi muscular dystrophy 3,MONDO_0013222,0.7766709537696496,7.76671458405996,1,0.4,0.4,transcript,79265.0
DDR2,ENSG00000162733,spondyloepimetaphyseal dysplasia-short limb-abnormal calcification syndrome,MONDO_0010077,0.7764076430659042,7.764090471165904,1,0.4,0.4,transcript,28489.0
SLC5A7,ENSG00000115665,Congenital myasthenic syndromes,Orphanet_590,0.7762388494106944,7.762444057379621,1,0.4,0.4,transcript,7199.0
SC5D,ENSG00000109929,lathosterolosis,MONDO_0011816,0.7760565126136428,7.760587968920963,1,0.4,0.4,transcript,17511.0
SLC22A5,ENSG00000197375,systemic primary carnitine deficiency disease,MONDO_0008919,0.775495528785921,7.754960856795682,1,0.4,0.4,transcript,71827.0
KCNQ1,ENSG00000053918,Jervell and Lange-Nielsen syndrome 1,MONDO_0024540,0.7751408263903989,7.751601937241627,3,1.2000000000000002,3.6000000000000005,transcript,18588.0
PRDM5,ENSG00000138738,brittle cornea syndrome,MONDO_0009242,0.774838472906194,7.748465337656832,2,0.8,1.6,transcript,19849.0
INF2,ENSG00000203485,Autosomal dominant intermediate Charcot-Marie-Tooth disease type E,Orphanet_93114,0.7742145534693237,7.742148597574182,1,0.4,0.4,transcript,130596.0
SPAST,ENSG00000021574,hereditary spastic paraplegia 4,MONDO_0008438,0.773842126088392,7.738426437202263,1,0.4,0.4,transcript,77275.0
HECW2,ENSG00000138411,"neurodevelopmental disorder with hypotonia, seizures, and absent language",MONDO_0014995,0.7709919274019409,7.709925090170862,1,0.4,0.4,transcript,68774.0
PLEC,ENSG00000178209,autosomal recessive limb-girdle muscular dystrophy type 2Q,MONDO_0013390,0.7709468115340367,7.709477179606011,2,0.9,1.8,transcript,198582.0
PPARG,ENSG00000132170,PPARG-related familial partial lipodystrophy,MONDO_0011448,0.7706687346939736,7.732218341133959,59,24.0,1416.0,transcript,55462.0
PPARG,ENSG00000132170,PPARG-related familial partial lipodystrophy,MONDO_0011448,0.7706687346939736,7.732218341133959,59,24.0,1416.0,transcript,55462.0
PPARG,ENSG00000132170,PPARG-related familial partial lipodystrophy,MONDO_0011448,0.7706687346939736,7.732218341133959,59,24.0,1416.0,gene_variant,55462.0
PPARG,ENSG00000132170,PPARG-related familial partial lipodystrophy,MONDO_0011448,0.7706687346939736,7.732218341133959,59,24.0,1416.0,gene_variant,55462.0
ANKH,ENSG00000154122,chondrocalcinosis 2,MONDO_0007319,0.7705435393618592,7.706203836241542,5,2.4,12.0,transcript,15616.0
ANKH,ENSG00000154122,chondrocalcinosis 2,MONDO_0007319,0.7705435393618592,7.706203836241542,5,2.4,12.0,gene_variant,15616.0
ANKH,ENSG00000154122,chondrocalcinosis 2,MONDO_0007319,0.7705435393618592,7.706203836241542,5,2.4,12.0,gene_variant,15616.0
ANKH,ENSG00000154122,chondrocalcinosis 2,MONDO_0007319,0.7705435393618592,7.706203836241542,5,2.4,12.0,transcript,15616.0
SLC11A2,ENSG00000110911,microcytic anemia with liver iron overload,MONDO_0008787,0.7705069496135211,7.705097457408847,2,0.8,1.6,transcript,57222.0
FBN1,ENSG00000166147,"Weill-Marchesani syndrome 2, dominant",MONDO_0012013,0.7700287088354987,7.7002937535775215,1,0.4,0.4,transcript,60013.0
NDUFS4,ENSG00000164258,Leigh syndrome,MONDO_0009723,0.7700106731287291,7.7002133126888355,1,0.4,0.4,transcript,3753.0
FANCF,ENSG00000183161,Fanconi anemia,MONDO_0019391,0.7698758753400599,7.698880297004367,1,0.4,0.4,transcript,3291.0
FARSB,ENSG00000116120,Rajab interstitial lung disease with brain calcifications 1,MONDO_0100215,0.7696746231841538,7.696797252249701,1,0.4,0.4,transcript,7840.0
DCDC2,ENSG00000146038,sclerosing cholangitis,EFO_0004268,0.7683741978102933,7.6837877551686224,1,0.4,0.4,transcript,8738.0
INF2,ENSG00000203485,focal segmental glomerulosclerosis 5,MONDO_0013191,0.767935210086729,7.6793551637482365,1,0.4,0.4,transcript,130596.0
CEP85L,ENSG00000111860,lissencephaly 10,MONDO_0030031,0.7678505820084267,7.6785212230647435,1,0.4,0.4,transcript,25969.0
BPTF,ENSG00000171634,neurodevelopmental disorder with dysmorphic facies and distal limb anomalies,MONDO_0060596,0.767773883187154,7.677758456068175,2,0.8,1.6,transcript,81532.0
PKP2,ENSG00000057294,arrhythmogenic right ventricular cardiomyopathy,MONDO_0016587,0.767771739494477,7.6778734963130955,4,1.6,6.4,transcript,40999.0
DDR2,ENSG00000162733,Spondyloepimetaphyseal dysplasia - short limb - abnormal calcification,Orphanet_93358,0.7674128316500246,7.674142357007108,1,0.4,0.4,transcript,28489.0
PLEC,ENSG00000178209,"epidermolysis bullosa simplex 5B, with muscular dystrophy",MONDO_0009181,0.7673462714902615,7.673471779168258,2,0.9,1.8,transcript,198582.0
CA8,ENSG00000178538,Dysequilibrium syndrome,Orphanet_1766,0.7670582414805475,7.670623369039118,1,0.4,0.4,transcript,9767.0
FGA,ENSG00000171560,congenital afibrinogenemia,MONDO_0008737,0.766588439122888,7.665952615687348,1,0.4,0.4,transcript,5863.0
BCKDHB,ENSG00000083123,maple syrup urine disease type 1B,MONDO_0023692,0.7658095457921958,7.663822834783356,10,4.0,40.0,transcript,6984.0
CLDN1,ENSG00000163347,neonatal ichthyosis-sclerosing cholangitis syndrome,MONDO_0011874,0.7655498315409753,7.657148650634095,4,1.6,6.4,transcript,3878.0
PDP1,ENSG00000164951,pyruvate dehydrogenase phosphatase deficiency,MONDO_0012120,0.7654258756534824,7.654282123750621,1,0.4,0.4,transcript,17118.0
SAMD9L,ENSG00000177409,ataxia-pancytopenia syndrome,MONDO_0008038,0.7642544454259472,7.642552907166215,1,0.4,0.4,transcript,47321.0
AR,ENSG00000169083,Kennedy disease,MONDO_0010735,0.7641388908320407,7.641430238106267,2,0.8,1.6,transcript,38713.0
FAT4,ENSG00000196159,Hennekam lymphangiectasia-lymphedema syndrome 2,MONDO_0014454,0.763903477835451,7.639043488397189,1,0.4,0.4,transcript,45924.0
LRRK2,ENSG00000188906,Parkinson disease,MONDO_0005180,0.763360802714582,7.633626784961576,2,0.9,1.8,transcript,95960.0
PDE3A,ENSG00000172572,Brachydactyly - arterial hypertension,Orphanet_1276,0.7630537956406954,7.6305627395544136,1,0.4,0.4,gene_variant,16140.0
NRCAM,ENSG00000091129,neurodevelopmental disorder with neuromuscular and skeletal abnormalities,MONDO_0859236,0.7625671337113873,7.6256829904277845,1,0.4,0.4,transcript,34325.0
ADK,ENSG00000156110,adenosine kinase deficiency,MONDO_0100255,0.7616480768185092,7.616499751622043,1,0.4,0.4,transcript,21071.0
KIAA0586,ENSG00000100578,short-rib thoracic dysplasia 14 with polydactyly,MONDO_0014688,0.7616043099926995,7.6160487509854375,1,0.5,0.5,transcript,88479.0
ANKRD17,ENSG00000132466,Chopra-Amiel-Gordon syndrome,MONDO_0859186,0.7614296495963643,7.614305685873123,1,0.4,0.4,transcript,43526.0
